time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024989,388.0,42.6,1267.6,168.1,2528.7,203.0,388.5,1268.1,2514.4,212.1,65.9,24.4
0.026989,391.1,47.3,1287.2,172.9,2522.9,192.0,388.9,1269,2514.5,212.1,65.8,24.8
0.028989,393.7,50.6,1301.1,167.6,2515.2,183.6,389.6,1270.6,2514.7,212.2,65.9,24.1
0.030989,395.7,52.8,1308.6,154.3,2511.3,168.4,390.5,1272.7,2515,212.3,66,22.7
0.032989,397.6,54.5,1311.6,138.4,2510.3,145.2,391.6,1275.3,2515.4,212.3,66.1,21.3
0.034989,399.4,55.8,1311.5,126.7,2511.4,123.7,392.9,1278.4,2515.9,212.4,66.2,20.5
0.036989,400.6,56.1,1310.1,121.0,2514.7,109.8,394.5,1282,2516.4,212.5,66.4,20.3
0.038989,401.1,54.8,1307.8,121.5,2520.1,106.1,396.2,1286,2517.1,212.6,66.5,20.2
0.040989,401.1,52.4,1304.7,124.3,2525.2,109.3,398,1290.2,2517.9,212.7,66.6,20.3
0.042989,401.4,50.0,1301.4,124.9,2527.7,113.6,400,1294.7,2518.8,212.8,66.7,20.5
0.044989,402.2,48.7,1298.9,121.5,2526.0,115.0,402.1,1299.4,2519.9,212.9,66.8,20.9
0.046989,403.2,48.7,1296.8,114.7,2519.3,113.8,404.2,1304.2,2521.1,213,66.9,21.4
0.048989,404.3,49.3,1294.8,106.8,2509.8,111.3,406.4,1308.9,2522.4,213.1,67,22.1
0.050989,405.4,49.9,1293.1,99.4,2502.0,109.7,408.6,1313.6,2523.8,213.3,67.1,22.9
0.052989,406.4,50.0,1291.9,94.5,2501.0,111.1,410.7,1318.2,2525.4,213.4,67.2,23.7
0.054989,407.5,49.9,1291.6,90.2,2506.7,114.8,412.8,1322.5,2527.1,213.5,67.3,24.5
0.056989,408.9,49.9,1292.2,85.6,2514.9,118.7,414.9,1326.6,2528.9,213.6,67.4,25.5
0.058989,410.6,49.6,1292.7,80.7,2522.7,124.0,416.8,1330.3,2530.9,213.7,67.5,26.7
0.060989,412.0,48.4,1292.5,77.9,2527.4,133.2,418.6,1333.7,2533,213.7,67.7,27.8
0.062989,412.7,45.2,1291.0,80.4,2531.3,156.4,420.3,1336.5,2535.1,213.8,67.8,28.6
0.064989,412.4,39.7,1287.3,90.3,2539.4,211.1,421.8,1338.9,2537.4,213.9,68,28.7
0.066989,413.1,34.1,1283.2,102.9,2548.0,306.4,423.2,1340.8,2539.7,214,68.2,28
0.068989,415.5,31.7,1285.9,113.4,2550.0,387.8,424.4,1342.1,2542,214.1,68.4,26.5
0.070989,418.9,31.7,1296.7,123.6,2556.3,433.6,425.5,1342.9,2544.3,214.1,68.7,24.7
0.072989,422.3,33.2,1310.9,131.8,2569.0,446.9,426.4,1343.2,2546.7,214.2,68.9,23.1
0.074989,425.0,35.8,1326.2,139.7,2582.1,428.2,427.1,1342.8,2549,214.2,69.1,22
0.076989,426.9,39.7,1341.5,147.1,2586.9,376.2,427.6,1342,2551.2,214.2,69.3,21.5
0.078989,428.9,45.4,1358.9,149.5,2580.9,295.7,428,1340.6,2553.3,214.3,69.4,21.2
0.080989,431.2,51.1,1372.9,143.8,2571.8,228.9,428.3,1338.7,2555.3,214.3,69.4,21.2
0.082989,432.8,55.0,1379.8,138.0,2568.0,193.1,428.5,1336.3,2557.1,214.3,69.4,21.6
0.084989,433.4,56.9,1379.9,133.7,2566.3,180.4,428.5,1333.5,2558.8,214.4,69.4,22.3
0.086989,433.7,58.1,1375.8,128.2,2562.0,178.3,428.5,1330.3,2560.2,214.4,69.4,23.6
0.088989,434.1,58.8,1368.6,121.2,2555.1,181.9,428.4,1326.8,2561.5,214.4,69.4,25.6
0.090989,434.3,59.0,1360.2,115.0,2549.6,186.7,428.3,1323,2562.4,214.4,69.3,27.8
0.092989,434.3,58.9,1350.9,110.0,2547.1,190.2,428.1,1318.8,2563.2,214.4,69.3,29.8
0.094989,433.9,58.8,1342.0,106.8,2546.4,191.7,428,1314.5,2563.6,214.5,69.3,31.2
0.096989,433.3,58.5,1332.7,104.8,2545.6,192.7,427.8,1310,2563.7,214.5,69.3,31.8
0.098989,432.6,57.9,1324.0,102.6,2544.8,192.9,427.8,1305.3,2563.6,214.5,69.3,31.9
0.100989,431.9,57.1,1315.1,99.4,2545.1,192.1,427.7,1300.4,2563.2,214.6,69.3,31.8
0.102989,431.3,56.2,1306.5,95.7,2546.8,189.5,427.8,1295.5,2562.5,214.6,69.3,31.6
0.104989,430.7,55.5,1297.7,91.2,2548.9,182.9,427.9,1290.5,2561.6,214.7,69.3,31.6
0.106989,430.5,55.0,1290.1,86.4,2550.6,173.6,428.2,1285.5,2560.4,214.7,69.3,31.8
0.108989,430.6,54.8,1283.8,81.4,2551.8,163.8,428.5,1280.3,2559,214.8,69.4,32.1
0.110989,431.0,54.8,1279.2,77.8,2552.1,158.0,429,1275.1,2557.5,214.9,69.4,32.3
0.112989,431.4,54.9,1275.2,77.0,2551.5,158.9,429.5,1269.8,2555.8,215,69.4,32.5
0.114989,431.7,55.1,1271.6,79.5,2550.5,165.1,430.2,1264.5,2554,215.2,69.4,32.5
0.116989,432.2,55.8,1267.8,84.4,2549.1,171.7,431,1259.1,2552.2,215.3,69.4,32.2
0.118989,432.9,56.7,1263.4,90.4,2547.5,173.6,431.9,1253.5,2550.3,215.5,69.5,31.8
0.120989,433.9,57.7,1257.4,98.4,2546.2,171.5,432.9,1247.8,2548.6,215.7,69.5,31.3
0.122989,434.6,58.2,1249.7,108.5,2546.2,168.7,433.9,1241.9,2546.9,215.9,69.6,30.8
0.124989,435.3,58.6,1239.8,120.2,2547.3,167.5,435,1235.8,2545.4,216.1,69.6,30.5
0.126989,435.9,59.1,1228.4,130.1,2548.8,169.4,436.2,1229.5,2544.2,216.3,69.7,30.5
0.128989,436.2,59.9,1214.2,137.6,2550.8,176.6,437.4,1223,2543.2,216.6,69.7,30.8
0.130989,436.1,60.7,1199.1,141.3,2553.1,184.6,438.5,1216.1,2542.6,216.8,69.7,31.1
0.132989,436.0,61.5,1183.6,141.0,2555.3,186.8,439.7,1209,2542.4,217.1,69.8,31.2
0.134989,436.3,62.3,1170.8,136.9,2556.3,181.0,440.9,1201.5,2542.6,217.4,69.8,31.1
0.136989,436.8,62.9,1159.5,130.3,2556.6,171.6,442,1193.8,2543.3,217.8,69.9,30.5
0.138989,436.9,62.7,1147.1,122.3,2557.6,163.3,443,1185.7,2544.6,218.1,69.9,29.6
0.140989,436.4,61.2,1133.9,114.2,2559.8,159.2,444,1177.3,2546.4,218.5,70,28.6
0.142989,435.9,58.9,1121.3,104.5,2562.1,156.2,444.8,1168.7,2548.8,218.9,70,27.7
0.144989,436.5,57.4,1113.1,93.7,2562.3,151.0,445.6,1159.8,2551.9,219.3,70.1,27.2
0.146989,438.6,56.9,1108.7,81.7,2560.3,145.4,446.3,1150.7,2555.5,219.7,70.2,27.2
0.148989,441.0,56.8,1106.1,71.4,2558.7,145.5,446.8,1141.4,2559.8,220.1,70.2,27.7
0.150989,442.8,56.6,1103.5,63.4,2561.9,153.1,447.2,1132.1,2564.8,220.6,70.3,28.3
0.152989,443.9,56.5,1101.2,58.1,2571.9,161.9,447.5,1122.8,2570.3,221.1,70.3,28.8
0.154989,444.7,56.4,1099.6,54.1,2585.4,165.2,447.7,1113.6,2576.4,221.6,70.4,29
0.156989,445.4,56.3,1098.7,51.8,2594.7,162.1,447.9,1104.6,2583.1,222.1,70.4,28.8
0.158989,446.2,56.2,1098.3,51.2,2597.9,156.9,447.9,1096,2590.4,222.6,70.5,28.4
0.160989,447.0,56.1,1098.2,52.0,2597.8,153.5,447.8,1087.7,2598,223.2,70.6,27.9
0.162989,448.1,56.0,1098.3,53.1,2599.8,154.3,447.8,1080.1,2606.2,223.7,70.6,27.4
0.164989,449.1,56.0,1098.3,54.2,2605.4,163.4,447.6,1073.2,2614.6,224.3,70.7,27.1
0.166989,449.8,55.9,1098.5,56.1,2613.5,185.8,447.5,1067.2,2623.4,224.9,70.8,27.1
0.168989,450.3,55.8,1098.9,58.7,2620.6,216.9,447.5,1062.1,2632.4,225.5,70.9,27.4
0.170989,451.1,56.0,1099.6,61.6,2628.5,248.3,447.4,1058.2,2641.5,226.1,71,27.7
0.172989,452.4,56.4,1100.3,63.9,2639.5,266.2,447.5,1055.5,2650.7,226.7,71.1,27.8
0.174989,454.3,56.8,1100.9,65.2,2653.8,268.4,447.7,1054.3,2659.9,227.3,71.1,27.7
0.176989,456.2,57.0,1101.5,65.6,2666.4,263.0,448,1054.6,2669,227.9,71.2,27.1
0.178989,458.1,57.0,1102.7,66.2,2675.5,261.3,448.6,1056.5,2677.9,228.5,71.3,26.2
0.180989,460.0,57.0,1105.3,67.3,2679.7,268.9,449.3,1060.1,2686.6,229.1,71.4,25.2
0.182989,461.9,57.0,1110.0,68.7,2679.9,285.8,450.2,1065.6,2695,229.7,71.5,24.2
0.184989,463.5,56.6,1115.7,69.8,2677.2,305.4,451.5,1072.9,2703,230.2,71.6,23.4
0.186989,464.8,55.5,1121.2,70.4,2674.5,320.9,452.9,1082.2,2710.5,230.8,71.7,22.8
0.188989,465.7,53.6,1125.8,71.2,2678.0,326.4,454.7,1093.3,2717.5,231.3,71.8,22.2
0.190989,466.6,51.4,1129.8,72.6,2690.9,321.3,456.8,1106.5,2724,231.9,71.9,21.7
0.192989,467.8,48.9,1135.5,74.6,2712.0,311.0,459.2,1121.5,2729.9,232.3,72,21.4
0.194989,469.2,46.4,1144.1,76.3,2734.9,301.1,461.9,1138.4,2735.1,232.8,72.2,21.3
0.196989,470.9,43.8,1156.6,76.5,2757.2,290.9,465,1157.1,2739.7,233.3,72.3,21.5
0.198989,472.6,41.4,1171.3,74.1,2774.4,280.7,468.3,1177.5,2743.6,233.7,72.4,22.1
0.200989,474.2,38.9,1187.6,69.1,2787.3,272.7,471.9,1199.5,2746.9,234,72.6,22.7
0.202989,475.1,36.6,1201.9,62.9,2794.3,268.2,475.8,1222.9,2749.5,234.4,72.7,23.2
0.204989,475.9,34.5,1214.4,55.8,2796.5,261.0,479.9,1247.5,2751.4,234.7,72.8,23.3
0.206989,476.8,33.0,1224.9,50.0,2794.5,249.2,484.3,1273.2,2752.7,235,73,23.2
0.208989,478.1,32.5,1236.2,47.0,2787.8,234.0,488.8,1299.7,2753.5,235.2,73.1,23
0.210989,479.7,33.8,1250.2,48.8,2776.2,218.9,493.5,1326.9,2753.7,235.4,73.2,22.6
