time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,645.0,58.0,1558.4,103.6,2432.9,167.0,658.1,1548.7,2443.4,111.2,58.7,2
0.027000,658.9,51.8,1544.1,123.6,2427.3,141.4,659.8,1548.8,2434.8,111.1,58.7,2.3
0.029000,666.7,43.9,1541.1,128.2,2429.1,135.9,662.5,1549,2422.8,111,58.8,2.6
0.031000,672.3,40.0,1548.7,125.1,2427.9,152.6,666,1549.9,2410.7,110.9,58.9,3.1
0.033000,676.4,43.6,1554.6,125.4,2414.0,195.4,669.9,1551.6,2402,110.8,58.9,3.8
0.035000,677.7,50.6,1554.0,126.6,2395.7,240.3,673.9,1554.3,2399.9,110.7,58.9,4.8
0.037000,677.8,52.6,1554.7,119.4,2392.9,269.2,677.7,1558.2,2406.7,110.5,58.8,6.5
0.039000,679.6,50.1,1562.3,107.2,2413.5,297.3,681,1563.1,2423.3,110.4,58.8,8.6
0.041000,682.8,51.8,1573.3,101.2,2449.2,345.3,683.7,1568.8,2448.9,110.3,58.7,10.9
0.043000,685.1,62.2,1581.7,102.5,2488.7,426.0,685.6,1574.5,2481.3,110.2,58.7,13.1
0.045000,684.1,73.1,1584.0,101.1,2524.7,508.2,686.6,1579.8,2516.7,110,58.6,14.7
0.047000,682.8,74.3,1583.2,90.6,2556.7,547.6,686.9,1584,2550.8,109.9,58.6,15.9
0.049000,684.3,71.7,1582.2,79.7,2576.1,543.5,686.6,1586.4,2579.3,109.8,58.5,16.7
0.051000,686.5,78.6,1581.5,80.3,2586.5,539.6,686,1586.8,2598.2,109.8,58.5,17.3
0.053000,686.0,93.5,1579.6,87.4,2598.7,543.0,685.2,1584.9,2605.2,109.7,58.5,17.7
0.055000,683.1,98.6,1576.2,86.8,2604.2,532.1,684.5,1580.9,2599.2,109.6,58.5,18
0.057000,683.4,88.5,1573.2,76.6,2586.6,505.7,684,1575.1,2580.9,109.5,58.5,18.3
0.059000,686.7,78.7,1570.7,68.5,2550.9,464.6,683.9,1568.3,2552.7,109.5,58.4,18.4
0.061000,689.5,80.6,1567.0,72.9,2513.7,425.9,684.1,1561.2,2517.8,109.4,58.4,18.4
0.063000,688.9,87.3,1560.9,83.1,2482.7,405.4,684.6,1554.5,2480.1,109.4,58.3,18.3
0.065000,686.5,85.4,1555.4,84.6,2451.8,386.0,685.3,1548.9,2443.5,109.4,58.3,18.2
0.067000,685.3,78.8,1552.2,79.6,2417.3,358.0,686,1544.8,2411.1,109.4,58.2,18
0.069000,685.3,82.2,1546.0,82.9,2383.0,324.8,686.3,1542.5,2384.9,109.4,58.2,17.8
0.071000,683.5,96.3,1534.4,95.0,2359.0,294.5,686,1541.8,2365.5,109.4,58.2,17.4
0.073000,678.9,104.4,1526.2,101.3,2347.2,275.0,685,1542.6,2352.7,109.4,58.2,17.1
0.075000,676.0,98.1,1530.7,95.1,2341.7,270.4,683,1544.2,2344.7,109.4,58.2,16.9
0.077000,676.3,90.2,1543.4,84.2,2336.7,277.0,680.1,1546.2,2339.5,109.4,58.2,16.8
0.079000,677.5,91.6,1553.5,76.3,2330.9,283.8,676.2,1548.1,2335,109.4,58.2,16.8
0.081000,676.1,98.0,1555.5,70.9,2329.1,279.9,671.5,1549.4,2329.4,109.5,58.2,16.9
0.083000,672.0,98.1,1555.7,63.4,2330.5,269.4,666.3,1549.9,2321.7,109.5,58.1,16.8
0.085000,667.5,95.6,1557.4,58.8,2327.3,260.7,661,1549.6,2311.6,109.5,58,16.6
0.087000,662.7,103.1,1559.0,65.2,2309.0,255.9,655.9,1548.6,2300.1,109.5,57.9,16.2
0.089000,655.8,125.6,1555.1,89.7,2278.7,246.0,651.4,1547.2,2288.4,109.6,57.8,15.7
0.091000,647.4,143.1,1544.8,115.9,2262.0,228.3,647.9,1545.9,2278.4,109.6,57.7,15.1
0.093000,640.1,144.2,1536.0,120.2,2264.2,212.0,645.6,1545,2271.6,109.6,57.5,14.5
0.095000,634.5,140.1,1531.6,102.2,2281.5,204.7,644.9,1544.6,2269.1,0,57.4,14
