time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024989,308.6,58.1,2277.3,198.5,2967.8,207.2,317.7,2281.2,2981.4,156.4,60.9,11.1
0.026989,311.6,60.2,2273.3,195.6,2985.4,251.0,318.5,2276.4,2989.5,156.3,61,13.3
0.028989,317.0,65.8,2267.7,189.6,3006.1,307.1,319.9,2269.6,3001.5,156.2,61.1,15.7
0.030989,324.2,73.9,2260.5,178.9,3025.4,330.6,321.6,2262.5,3015.6,156,61.1,18.1
0.032989,332.0,80.6,2252.6,172.5,3044.9,300.6,323.7,2256.9,3029.6,155.8,61.1,20.1
0.034989,337.0,82.2,2246.9,182.1,3056.0,244.9,325.8,2254.5,3041.2,155.6,61.1,21.5
0.036989,336.6,80.3,2253.9,212.5,3050.7,195.1,327.9,2256.5,3048.2,155.3,61.1,22.1
0.038989,332.7,76.9,2278.5,253.2,3037.2,163.7,329.8,2263.6,3049,155.1,61.1,21.9
0.040989,329.9,72.7,2302.8,280.6,3024.0,148.1,331.2,2275.5,3042.9,154.8,61.1,21.5
0.042989,328.9,68.8,2312.2,279.6,3013.1,141.0,332,2290.9,3029.6,154.5,61,21.1
0.044989,327.9,65.3,2314.2,255.6,3003.7,138.1,332,2307.9,3010,154.1,61,21
0.046989,326.7,61.9,2316.3,230.8,2989.5,140.7,331.2,2324.2,2985.2,153.8,61,21.3
0.048989,325.7,58.2,2321.6,215.9,2963.2,146.4,329.5,2337.4,2957.2,153.4,61,22
0.050989,324.1,54.7,2329.7,206.6,2928.1,144.9,327,2345.3,2928,153,61,22.7
0.052989,321.7,51.7,2333.0,191.3,2897.9,132.7,323.8,2346.4,2899.4,152.5,61,23.2
0.054989,318.6,48.8,2325.9,163.1,2879.5,117.6,320.1,2340.4,2872.9,152.1,60.9,23.4
0.056989,315.5,45.9,2312.1,130.2,2866.1,108.7,316.2,2327.9,2849.4,151.6,60.9,23.2
0.058989,313.1,43.5,2298.9,105.6,2848.6,109.8,312.4,2310.5,2829.1,151.1,60.9,22.7
0.060989,311.7,41.7,2290.4,92.3,2824.4,114.7,309,2290.8,2811.5,150.5,60.8,22
0.062989,310.5,40.3,2286.3,86.2,2796.7,116.2,306.2,2271.8,2795.5,150,60.7,21.3
0.064989,309.1,39.6,2284.4,83.0,2768.7,114.2,304.3,2256.6,2779.6,149.4,60.6,20.5
0.066989,308.0,39.3,2281.6,79.9,2742.6,111.5,303.2,2247.9,2762,148.8,60.4,19.6
0.068989,306.8,38.9,2277.6,75.9,2719.8,112.2,303,2247,2741.3,148.2,60.2,18.6
0.070989,304.6,38.4,2273.7,71.0,2696.9,119.5,303.5,2254.5,2716.2,147.5,59.9,17.6
0.072989,302.4,38.6,2269.8,64.9,2668.0,129.8,304.3,2268.9,2686.1,146.9,59.5,16.6
0.074989,301.3,39.2,2267.0,58.5,2636.9,137.1,305.1,2287.6,2651.1,146.3,59.1,15.6
0.076989,300.3,39.9,2267.3,52.5,2612.6,145.0,305.4,2306.5,2612.2,145.6,58.5,14.7
0.078989,298.1,41.0,2271.3,48.3,2593.4,167.8,304.6,2321,2570.8,145,57.9,13.8
0.080989,295.4,42.9,2277.0,47.2,2568.5,216.3,302.4,2325.9,2528.7,144.3,57.1,13
0.082989,293.9,45.6,2282.3,49.2,2531.9,280.2,298.5,2316.7,2488.3,143.7,56.1,12.3
0.084989,293.2,49.2,2286.7,53.3,2490.1,339.8,292.5,2290.2,2451.5,143,55.1,11.7
0.086989,290.4,53.5,2292.4,58.3,2444.4,416.8,284.6,2244.7,2420.1,142.4,53.9,14.6
0.088989,283.1,58.0,2301.5,56.3,2377.7,589.4,275,2180.6,2395.3,141.8,52.5,21.1
0.090989,270.2,61.6,2242.0,922.8,2307.0,47.6,264,2100.6,2377.6,141.2,51.1,26
0.092989,254.7,56.3,1968.0,1005.6,2310.3,57.4,252.2,2009.4,2366.7,140.6,49.5,24.2
0.094989,243.4,47.0,1793.1,604.9,2324.3,91.1,240.3,1913.5,2361.6,140.1,47.7,10.6
0.096989,231.2,37.2,1738.4,395.5,2347.8,140.7,229.2,1820.4,2360.9,139.6,45.8,-21.5
0.098989,219.2,29.5,1703.7,332.8,2366.7,208.9,219.5,1737.8,2363,139.1,43.7,-68.6
0.100989,210.5,29.9,1678.3,306.6,2373.4,283.4,212.1,1672.8,2365.9,138.6,41.3,-120.9
0.102989,204.6,43.3,1666.9,323.8,2387.9,365.2,207.4,1631.3,2368.4,138.2,38.8,-168
0.104989,198.2,80.4,1664.0,372.1,2425.9,480.8,205.7,1617,2369.3,0,35.9,-200
