time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026011,413.4,125.4,2314.7,81.5,2898.6,121.3,409.8,2303.8,2881.7,99,50.4,7.1
0.028011,411.7,96.5,2306.8,80.0,2894.5,133.3,409.8,2304,2880,99,50.9,7.9
0.030011,409.8,76.2,2299.7,80.3,2883.3,154.8,409.9,2304.1,2877.2,99,51.3,8.6
0.032011,408.1,70.2,2296.5,85.5,2863.9,179.2,409.9,2304.4,2873.7,99,51.6,9.3
0.034011,406.9,73.7,2298.4,102.6,2849.7,213.8,409.9,2304.7,2869.6,99.1,51.9,10.1
0.036011,407.1,73.1,2301.5,121.5,2848.5,259.8,409.9,2305.1,2865.4,99.1,52,11.2
0.038011,408.6,66.8,2304.2,122.7,2850.2,275.7,409.7,2305.6,2861.3,99.1,52.2,12.7
0.040011,410.0,62.6,2308.7,101.1,2854.1,227.1,409.5,2306.1,2857.7,99.1,52.2,14.4
0.042011,410.0,64.3,2311.9,77.5,2856.4,190.0,409.1,2306.5,2854.9,99.1,52.3,16
0.044011,408.5,72.6,2311.8,63.8,2856.9,187.1,408.5,2306.9,2853.2,99.2,52.3,17.2
0.046011,407.5,79.7,2310.0,57.4,2861.6,187.0,407.8,2307.2,2852.8,99.2,52.3,17.6
0.048011,407.8,79.0,2306.9,52.8,2866.0,175.0,407,2307.3,2853.9,99.2,52.4,17.5
0.050011,407.9,73.6,2303.8,49.3,2864.3,162.2,406,2307.2,2856.6,99.3,52.3,16.9
0.052011,406.4,70.3,2302.3,47.4,2860.0,155.6,404.9,2306.8,2860.8,99.3,52.3,16.1
0.054011,403.4,71.5,2303.4,48.2,2862.3,154.4,403.7,2306.2,2866.5,99.4,52.3,15.4
0.056011,401.5,72.1,2306.3,49.9,2874.6,148.9,402.4,2305.3,2873.7,99.4,52.3,14.8
0.058011,401.3,66.9,2309.7,51.6,2887.8,138.5,401.2,2304.1,2882,99.5,52.3,14.2
0.060011,400.7,58.0,2311.3,53.0,2892.6,136.0,399.9,2302.9,2891.4,99.6,52.3,13.5
0.062011,398.9,53.5,2307.0,50.3,2893.7,140.4,398.7,2301.5,2901.5,99.6,52.4,12.9
0.064011,396.5,57.4,2298.4,44.4,2904.4,141.5,397.6,2300.3,2912.1,99.7,52.5,12.3
0.066011,394.8,61.3,2290.9,38.8,2923.2,135.4,396.6,2299.3,2923.1,99.8,52.6,11.9
0.068011,394.5,58.7,2287.3,34.5,2938.0,129.0,395.7,2298.7,2934.1,99.9,52.7,11.6
0.070011,394.9,53.6,2288.9,32.5,2944.8,129.0,395,2298.8,2944.8,100,52.9,11.4
0.072011,395.2,52.5,2295.8,33.8,2947.6,131.8,394.3,2299.5,2955.1,100.1,52.9,11.2
0.074011,394.8,57.7,2305.0,38.3,2955.3,128.9,393.8,2301.1,2964.6,100.2,53,11.1
0.076011,393.7,62.2,2311.5,42.4,2968.5,119.1,393.3,2303.6,2973.2,100.3,53.1,10.9
0.078011,392.6,60.2,2313.3,41.6,2981.5,108.2,392.8,2307.1,2980.6,100.4,53.1,10.8
0.080011,392.1,54.1,2314.6,36.8,2992.8,100.3,392.3,2311.4,2986.5,100.5,53.1,10.7
0.082011,392.2,50.4,2319.3,33.3,3000.5,101.1,391.8,2316.5,2990.6,100.7,53,10.6
0.084011,392.4,51.4,2328.1,33.8,3002.9,111.1,391.2,2322.1,2992.7,100.8,52.9,10.7
