time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,519.5,179.2,1015.2,141.6,2664.7,276.3,507.2,1005,2686.7,139.5,62.5,14.8
0.028000,517.2,185.1,1017.3,131.1,2665.5,323.7,508.5,1006.4,2684.7,139.1,62.4,15.5
0.030000,518.3,189.4,1020.5,121.0,2669.6,326.4,510.9,1008.6,2681.5,138.7,62.3,16.6
0.032000,520.6,189.9,1022.3,111.3,2675.5,287.5,514.6,1011.7,2677.6,138.2,62.2,17.6
0.034000,521.5,192.2,1021.0,104.9,2678.8,244.7,519.8,1015.5,2673.4,137.6,62.1,18.3
0.036000,523.6,201.3,1017.8,103.7,2680.4,213.0,526.9,1020.1,2669.3,136.9,62,18.4
0.038000,529.1,212.7,1015.9,108.0,2680.7,200.0,536.2,1025.2,2666.1,136.2,61.9,17.9
0.040000,537.4,225.8,1016.6,119.3,2681.2,206.2,547.9,1030.9,2664.1,135.3,61.8,17.2
0.042000,548.0,240.3,1018.7,136.1,2684.3,225.9,562.1,1037.1,2664,134.4,61.8,16.3
0.044000,560.8,251.5,1021.9,149.8,2690.3,244.5,578.9,1043.6,2666.1,133.4,61.8,15.5
0.046000,572.5,262.2,1026.5,154.6,2696.8,240.2,597.9,1050.5,2670.7,132.2,61.7,14.9
0.048000,589.3,292.8,1034.4,162.4,2699.1,205.9,619,1057.7,2678.1,131,61.7,14.2
0.050000,627.5,338.7,1050.6,178.5,2692.1,166.9,641.5,1065.2,2688.1,129.7,61.6,13.6
0.052000,687.5,337.4,1077.1,185.2,2682.4,143.4,665,1073,2700.8,128.2,61.5,13.1
0.054000,726.8,293.6,1101.2,175.1,2680.4,138.8,688.6,1081,2715.8,126.7,61.4,12.6
0.056000,750.2,254.9,1119.4,163.5,2689.3,148.6,711.5,1089.4,2732.8,125.1,61.3,12.4
0.058000,763.9,230.4,1130.7,156.2,2708.1,167.8,733,1098,2751.3,123.3,61.1,12.6
0.060000,771.1,222.8,1136.2,154.5,2737.3,196.4,752.4,1107,2770.7,121.5,60.9,13
0.062000,774.2,233.1,1137.9,159.0,2772.9,247.9,768.9,1116.4,2790.5,119.6,60.8,13.2
0.064000,777.1,256.8,1138.6,169.1,2813.5,337.8,782.1,1126,2810.1,117.7,60.7,13
