time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025011,392.5,79.7,2581.6,251.6,3234.3,274.5,393.6,2601.6,3231.6,243.7,64.3,4.7
0.027011,397.2,85.3,2595.0,227.0,3235.8,246.5,395,2608,3233.2,243.5,64.5,6.2
0.029011,398.7,90.3,2616.6,210.5,3236.5,237.9,396.8,2618.6,3235.8,243.2,64.6,8
0.031011,398.7,93.0,2644.7,195.0,3236.5,244.5,398.5,2633.2,3238.8,242.9,64.7,9.8
0.033011,398.1,94.4,2673.0,177.4,3237.8,258.0,399.3,2651.3,3241.8,242.6,64.6,11.4
0.035011,396.8,96.1,2695.3,159.6,3241.1,266.0,398.8,2672,3243.9,242.2,64.6,12.5
0.037011,394.5,98.1,2709.8,145.6,3244.1,258.8,396.6,2694.1,3244,241.7,64.5,13.1
0.039011,391.1,98.1,2718.2,138.4,3241.3,236.2,392.8,2716,3241.1,241.3,64.4,13.4
0.041011,387.0,95.4,2724.1,138.5,3232.1,206.6,387.6,2736.1,3234.5,240.8,64.3,13.4
0.043011,382.6,92.8,2732.0,147.5,3221.8,182.6,381.6,2753,3223.8,240.2,64.2,13.2
0.045011,377.9,91.3,2743.3,167.6,3211.2,170.5,375.3,2765.9,3209.4,239.7,64,13.1
0.047011,372.7,90.4,2757.4,197.0,3199.0,169.9,369.4,2774.4,3192.7,239.2,63.9,13.1
0.049011,367.0,89.4,2773.2,228.4,3183.9,177.5,364.3,2779.4,3175.5,238.6,63.7,12.9
0.051011,361.2,87.8,2788.1,253.0,3165.9,188.2,360,2782,3160.4,238,63.5,12.7
0.053011,355.4,85.8,2799.7,267.1,3148.8,197.4,356.4,2783.9,3149.9,237.4,63.2,12.5
0.055011,349.7,84.3,2807.3,272.2,3138.0,207.1,353,2786.8,3146,236.9,62.8,12.2
0.057011,344.3,84.8,2812.6,271.2,3137.3,224.2,349.2,2792,3149.7,236.3,62.3,11.7
0.059011,339.6,88.4,2817.3,265.9,3149.4,253.4,344.5,2799.8,3161,235.7,61.7,11.1
0.061011,335.9,94.3,2818.0,257.2,3174.9,286.5,338.4,2809.4,3178,235.1,60.9,10.5
0.063011,332.6,100.1,2810.6,250.6,3205.0,307.7,330.6,2819.3,3197.7,234.5,60,10
0.065011,328.0,105.9,2800.2,250.2,3229.8,321.7,321.1,2827,3216.3,234,58.9,9.7
0.067011,319.0,112.3,2793.8,258.8,3243.8,338.1,310.2,2829.8,3229.6,233.5,57.7,13
0.069011,303.6,114.5,2792.4,281.3,3243.0,354.6,298.5,2825.5,3234.4,232.9,56.5,19.9
0.071011,284.9,103.3,2793.1,321.7,3227.2,361.6,286.5,2812.8,3228.5,232.4,55.2,25.2
0.073011,268.9,80.0,2793.4,383.6,3201.4,355.7,275.1,2791.9,3211.7,231.9,54,23.8
0.075011,257.6,56.3,2794.2,469.4,3172.3,341.4,264.7,2764.2,3185.8,231.5,52.7,10.5
0.077011,250.1,38.3,2796.0,572.5,3144.8,322.4,255.9,2733.1,3154.4,231,51.4,-21.4
0.079011,245.6,26.2,2790.4,699.8,3117.1,301.5,248.9,2702.4,3122.2,230.6,49.9,-68.6
0.081011,244.0,20.0,2758.4,930.1,3083.3,284.8,243.9,2676.5,3094.5,230.2,48.3,-120.8
0.083011,244.8,20.7,2658.7,1244.8,3062.9,303.0,240.9,2659.2,3075.7,229.7,46.2,-168
0.085011,247.3,30.3,2463.9,1180.8,3110.8,408.9,239.9,2653.1,3069.1,229.3,44,-200
