time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025011,564.9,117.8,1507.7,80.3,2960.9,128.5,565,1516.1,2962.4,134.2,55.2,6.3
0.027011,567.7,98.3,1510.7,67.5,2958.6,108.7,565.8,1516.7,2962.3,133.9,57,19.3
0.029011,569.3,81.2,1513.5,58.0,2957.7,96.9,567.2,1517.7,2962.1,133.6,58.3,20.6
0.031011,570.9,68.9,1516.8,53.1,2957.9,92.2,569.2,1519,2961.8,133.3,59.4,15.3
0.033011,573.4,61.9,1521.3,53.2,2959.1,90.9,571.6,1520.6,2961.5,133,60.1,8.3
0.035011,575.9,58.1,1525.7,56.2,2960.9,88.4,574.6,1522.4,2961.2,132.7,60.7,4.7
0.037011,577.9,54.7,1528.8,57.6,2963.0,83.6,578.1,1524.4,2960.8,132.3,61.1,4.3
0.039011,580.0,53.3,1531.4,57.9,2965.7,79.9,582,1526.3,2960.5,131.9,61.3,3.8
0.041011,583.0,57.2,1533.9,59.6,2967.3,79.9,586.4,1528.2,2960.2,131.5,61.4,3.3
0.043011,587.4,64.9,1535.5,61.2,2966.1,80.4,591.1,1529.9,2960,131.1,61.5,3
0.045011,592.2,70.4,1535.1,59.6,2962.8,78.7,596.2,1531.4,2960,130.7,61.4,3.2
0.047011,597.5,73.9,1534.1,57.9,2959.8,79.6,601.6,1532.5,2960.1,130.3,61.3,3.9
0.049011,604.8,80.6,1533.7,59.6,2958.0,87.7,607.3,1533.2,2960.4,129.9,61.2,5
0.051011,614.1,88.4,1533.5,61.9,2956.8,98.9,613.1,1533.4,2961,129.5,61.1,6.3
0.053011,621.5,89.3,1532.9,60.3,2956.8,103.2,619,1533.1,2962,129.1,61.1,7.5
0.055011,626.8,86.6,1531.7,58.3,2959.7,103.2,625,1532.3,2963.3,128.7,61,8.4
0.057011,633.1,87.5,1530.4,60.6,2965.8,107.0,630.9,1531,2965,128.3,61,8.8
0.059011,640.0,89.2,1528.6,64.3,2971.8,110.9,636.7,1529.1,2967.2,127.9,61,8.9
0.061011,645.1,86.1,1526.0,64.2,2975.4,108.6,642.3,1526.7,2969.9,127.5,61,8.9
0.063011,648.8,82.0,1522.9,62.2,2978.5,103.9,647.7,1523.8,2973.1,127.1,60.9,9
0.065011,653.6,82.4,1519.2,63.4,2982.4,104.5,652.8,1520.5,2976.8,126.7,60.9,9.2
0.067011,659.3,84.5,1514.7,65.7,2985.6,109.2,657.4,1516.8,2981.1,126.4,60.8,9.6
0.069011,663.2,82.9,1509.8,64.2,2987.2,111.4,661.7,1512.8,2986,126.1,60.7,10
0.071011,665.5,81.2,1505.1,61.2,2990.2,114.6,665.4,1508.6,2991.5,125.8,60.6,10.6
0.073011,667.6,85.0,1501.1,61.6,2996.1,127.3,668.6,1504.3,2997.4,125.5,60.6,11.1
0.075011,669.7,89.9,1497.3,63.2,3002.0,145.0,671.2,1499.8,3003.9,125.2,60.5,11.7
0.077011,671.0,89.1,1493.6,61.2,3005.6,152.6,673.3,1495.4,3010.7,125,60.4,12.2
0.079011,671.9,86.8,1489.6,57.7,3010.6,152.6,674.7,1490.9,3017.9,124.7,60.3,12.8
0.081011,673.1,90.9,1485.8,57.7,3020.5,158.2,675.6,1486.5,3025.3,124.5,60.1,13.4
0.083011,674.1,99.1,1482.0,60.1,3032.3,168.3,675.8,1482.2,3032.9,124.3,60,13.9
0.085011,674.5,103.0,1478.9,59.9,3041.3,167.9,675.6,1477.9,3040.5,124.1,59.9,14.5
0.087011,674.7,105.4,1476.6,58.7,3048.4,157.8,674.8,1473.7,3047.9,123.9,59.7,15
0.089011,674.9,113.6,1474.1,60.9,3056.0,152.0,673.6,1469.6,3055,123.8,59.6,15.4
0.091011,674.1,123.9,1470.0,65.8,3061.3,156.2,671.9,1465.5,3061.7,123.6,59.4,15.9
0.093011,671.1,123.4,1464.2,66.3,3061.0,163.3,669.9,1461.3,3067.8,123.5,59.3,16.3
0.095011,666.9,115.1,1458.5,62.3,3058.1,169.5,667.6,1457,3073,123.4,59.1,16.6
0.097011,663.1,111.8,1454.4,61.3,3059.2,180.6,665.1,1452.6,3077.3,123.3,58.9,17
0.099011,660.6,115.6,1450.6,65.6,3065.1,200.4,662.3,1447.9,3080.4,123.2,58.7,17.4
