time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025011,1863.0,551.2,3363.2,254.3,3841.2,747.5,1870.2,3388,3867,0,51.3,-1.3
0.027011,1853.0,455.2,3356.4,253.1,3773.2,720.1,1856.5,3373.4,3858.8,0,51.5,-1
0.029011,1854.6,383.9,3323.6,269.1,3727.2,632.5,1833.8,3349.3,3845.2,0,51.6,-0.6
0.031011,1855.0,356.4,3272.9,274.2,3727.0,538.6,1802.6,3316,3826.5,0,51.6,0
0.033011,1847.6,386.8,3223.2,278.3,3746.4,446.1,1763.2,3273.9,3802.8,0,51.4,0.4
0.035011,1829.8,497.8,3181.0,310.4,3758.3,351.8,1716.3,3223.4,3774.5,0,51.1,0.8
0.037011,1809.4,702.8,3143.8,373.6,3761.5,274.2,1662.5,3165.2,3741.9,0,50.6,0.9
0.039011,1816.3,982.8,3115.5,439.4,3763.9,220.3,1602.5,3099.9,3705.3,0,50,0.9
0.041011,1917.3,1281.2,3106.5,459.7,3767.5,189.2,1537.2,3028.3,3665.4,0,49.2,0.8
0.043011,2118.9,1347.9,3111.6,411.9,3772.7,183.7,1467.5,2951.2,3622.4,0,48.5,0.8
0.045011,2171.1,1439.0,3099.9,329.4,3772.4,210.5,1394.5,2869.4,3577,0,48.1,1.1
0.047011,1573.4,3287.1,3055.0,266.5,3732.6,311.0,1319,2783.9,3529.7,0,48.5,1.8
0.049011,476.3,507.6,3036.2,261.4,3632.5,499.5,1242.2,2695.7,3481.1,231.5,49.7,2.8
0.051011,486.4,238.7,3065.6,329.8,3522.3,711.1,1165,2605.6,3431.6,231.1,51.5,3.9
0.053011,494.4,183.8,3009.0,1603.5,3205.8,340.2,1088.5,2514.6,3381.9,230.6,53.2,4.9
0.055011,496.1,138.5,2129.5,1144.3,3231.3,200.8,1013.7,2423.6,3332.4,230.1,54.7,5.6
0.057011,500.0,108.2,1921.4,720.3,3244.1,161.4,941.6,2333.6,3283.8,229.5,55.9,5.7
0.059011,505.6,90.7,1814.5,562.2,3253.1,156.0,872.9,2245.5,3236.5,229,56.8,5.5
0.061011,512.4,77.1,1721.9,469.6,3144.8,1289.4,808.5,2160,3190.9,228.4,57.4,5.3
0.063011,524.2,72.9,1672.9,417.0,3021.0,1046.2,749.3,2077.9,3147.5,227.8,57.8,5.2
0.065011,542.6,74.7,1666.7,386.4,2998.6,1063.5,695.7,1999.9,3106.6,227.1,58.2,5.6
0.067011,566.4,73.7,1681.6,344.1,3000.4,1105.5,648.4,1926.7,3068.7,226.5,58.4,6.8
