time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,502.4,184.0,1549.4,406.3,2588.4,388.5,544.4,1639.5,2584.7,217.6,52.9,18
0.028000,518.6,196.2,1595.3,359.9,2595.0,361.8,546.6,1640.5,2585.7,217.5,52.9,17.8
0.030000,532.5,200.6,1622.4,326.9,2593.3,302.2,550.1,1642.2,2587.3,217.5,53,17.2
0.032000,545.3,201.8,1641.5,307.8,2593.9,257.2,554.9,1644.6,2589.7,217.5,53,16.5
0.034000,559.4,202.3,1658.3,292.9,2598.5,228.2,560.9,1647.6,2592.8,217.5,53.1,15.9
0.036000,574.0,201.1,1671.8,277.8,2605.3,209.5,568,1651.2,2596.8,217.6,53.2,15.7
0.038000,587.7,196.5,1682.3,263.1,2611.5,193.7,576,1655.5,2601.5,217.6,53.3,15.6
0.040000,599.6,190.1,1691.2,251.8,2616.2,179.2,584.8,1660.3,2607.2,217.7,53.4,15.7
0.042000,611.8,184.1,1700.9,242.6,2621.1,166.2,594.2,1665.6,2613.7,217.7,53.5,15.8
0.044000,625.1,179.7,1709.8,233.6,2626.3,158.2,603.9,1671.4,2621.2,217.8,53.6,16.1
0.046000,639.0,174.7,1715.7,222.9,2631.4,157.1,613.9,1677.5,2629.6,217.9,53.7,16.4
0.048000,651.3,166.5,1717.2,213.2,2635.2,163.3,623.9,1684,2638.8,218,53.9,16.8
0.050000,659.2,155.5,1714.6,209.2,2636.6,175.3,633.7,1690.6,2648.9,218.2,54.1,17.4
0.052000,663.1,142.5,1709.6,212.3,2636.7,190.7,643.3,1697.3,2659.6,218.4,54.3,17.9
0.054000,664.5,129.9,1704.5,220.9,2638.6,205.8,652.3,1703.9,2670.9,218.6,54.5,18.5
0.056000,665.3,118.6,1701.5,232.6,2645.4,223.0,660.8,1710.4,2682.5,218.8,54.7,19.1
0.058000,666.5,108.3,1701.1,244.7,2658.0,249.6,668.5,1716.6,2694.4,219,55,19.8
0.060000,667.8,99.5,1702.7,253.2,2674.8,292.1,675.4,1722.3,2706.2,219.3,55.3,20.5
0.062000,669.1,91.6,1705.4,255.6,2696.0,358.6,681.4,1727.4,2717.7,219.6,55.6,21.1
0.064000,670.1,84.9,1708.3,251.2,2717.8,441.6,686.6,1731.9,2728.7,219.9,56,21.5
0.066000,671.1,79.5,1711.6,242.5,2737.8,524.3,690.8,1735.5,2739,220.2,56.3,21.4
0.068000,672.6,75.9,1716.0,229.1,2758.2,574.9,694.1,1738.3,2748.2,220.6,56.7,20.9
0.070000,675.8,74.3,1721.7,205.5,2784.7,570.7,696.5,1740.1,2756.3,221,57,20
0.072000,680.7,74.7,1727.0,174.7,2809.7,517.6,698.1,1740.9,2762.9,221.4,57.4,19.1
0.074000,686.2,76.0,1731.4,146.0,2823.5,449.3,699,1740.7,2767.9,221.8,57.7,18.4
0.076000,691.2,77.3,1735.2,125.0,2823.3,384.3,699.3,1739.5,2771.3,222.3,58.1,18.1
0.078000,695.0,78.2,1738.0,113.0,2811.3,330.3,699.1,1737.4,2772.9,222.7,58.5,18
0.080000,697.8,78.8,1739.6,108.2,2791.6,284.5,698.4,1734.4,2772.8,223.2,58.8,18.1
0.082000,699.6,79.4,1739.7,110.1,2772.1,250.6,697.5,1730.8,2770.9,223.7,59.1,18.2
0.084000,701.1,80.1,1738.6,116.7,2758.1,227.4,696.4,1726.5,2767.5,224.2,59.4,18.1
0.086000,702.4,80.7,1736.5,125.8,2749.8,214.0,695.3,1721.8,2762.7,224.7,59.6,17.7
0.088000,703.2,80.8,1733.0,135.2,2744.2,210.4,694.3,1716.9,2756.6,225.3,59.8,16.8
0.090000,703.2,79.8,1726.8,143.9,2738.6,215.7,693.5,1712,2749.6,225.8,60,15.7
0.092000,703.0,77.7,1718.9,149.3,2733.3,230.5,692.9,1707.2,2742,226.3,60.2,14.7
0.094000,702.8,74.8,1711.5,150.8,2727.9,258.4,692.7,1702.7,2734.1,226.9,60.4,14.2
0.096000,702.8,71.8,1706.0,149.8,2721.1,299.6,692.9,1698.8,2726.3,227.5,60.5,14.6
0.098000,702.8,68.7,1701.3,146.9,2710.2,347.9,693.6,1695.6,2718.8,228,60.7,15.9
0.100000,702.7,65.8,1696.7,142.1,2696.9,379.8,694.8,1693.2,2712.1,228.6,60.8,17.8
0.102000,702.7,63.1,1692.2,135.5,2685.2,381.9,696.4,1691.6,2706.5,229.2,61,19.7
0.104000,703.0,60.7,1688.4,127.7,2676.8,361.6,698.5,1691,2702.2,229.7,61.1,21.1
0.106000,703.9,58.8,1686.0,120.8,2671.0,333.7,701.1,1691.4,2699.5,230.3,61.2,21.5
0.108000,705.3,57.3,1684.9,115.1,2667.8,305.1,704,1692.6,2698.5,230.9,61.3,21.2
0.110000,707.1,56.2,1685.4,111.6,2670.7,284.2,707.2,1694.5,2699.5,231.4,61.4,20.3
0.112000,708.9,55.6,1687.4,110.1,2682.1,274.8,710.7,1697.1,2702.5,232,61.5,19.4
0.114000,710.7,55.4,1690.5,110.1,2699.9,274.6,714.3,1700,2707.4,232.5,61.5,18.7
0.116000,712.8,56.2,1695.5,110.1,2722.5,273.9,718,1703.1,2714.1,233.1,61.5,18.7
0.118000,715.8,58.1,1702.2,108.4,2745.3,264.6,721.6,1706,2722.6,233.6,61.5,19.3
0.120000,718.9,59.7,1708.4,105.7,2764.7,253.3,725.1,1708.4,2732.5,234.1,61.5,20.1
0.122000,721.6,60.5,1712.3,103.3,2779.3,246.6,728.4,1710.1,2743.6,234.7,61.5,20.9
0.124000,723.6,60.9,1713.1,102.4,2790.1,244.9,731.3,1710.5,2755.6,235.2,61.5,21.3
0.126000,725.3,61.7,1711.7,104.6,2800.7,248.4,733.8,1709.4,2768.2,235.7,61.4,21
0.128000,727.0,63.0,1708.9,112.2,2811.0,260.1,735.8,1706.6,2780.8,236.2,61.3,20
0.130000,728.7,64.4,1704.2,125.7,2819.1,281.4,737.3,1701.6,2793.3,236.6,61.3,18.6
0.132000,731.0,66.0,1696.7,141.8,2823.7,305.6,738.2,1694.3,2805.1,237.1,61.2,17.2
0.134000,733.5,67.6,1686.2,155.5,2826.1,326.9,738.6,1684.5,2815.9,237.5,61,16.1
0.136000,735.0,69.0,1670.7,166.4,2829.5,359.3,738.2,1672,2825.5,237.9,60.9,15.8
0.138000,735.1,70.4,1652.8,173.2,2836.3,410.8,737.3,1656.9,2833.5,238.3,60.7,16.2
0.140000,734.8,72.7,1635.4,179.8,2845.3,475.9,735.8,1639.2,2839.7,238.7,60.5,16.8
0.142000,734.6,76.4,1618.2,192.3,2849.4,533.7,733.7,1618.9,2844,239.1,60.3,17.7
0.144000,734.5,82.0,1594.7,212.5,2841.1,562.8,731.1,1596.3,2846.4,239.4,60.1,18.3
0.146000,733.5,89.0,1561.5,227.6,2819.9,540.9,728,1571.7,2846.8,239.7,59.9,18.7
0.148000,731.1,96.6,1525.1,220.1,2797.8,477.1,724.6,1545.5,2845.2,240,59.7,18.9
0.150000,728.6,105.0,1497.0,193.6,2784.0,403.5,720.8,1518,2841.9,240.2,59.4,19
0.152000,727.2,114.8,1479.2,166.4,2778.3,348.6,716.9,1489.8,2837.1,240.5,59.2,19
0.154000,726.7,127.4,1465.3,144.7,2779.4,315.2,712.9,1461.4,2831,240.7,58.9,18.8
0.156000,726.2,142.0,1453.6,131.9,2788.6,300.8,708.8,1433.3,2824,240.9,58.6,18.5
0.158000,724.9,158.4,1442.9,127.6,2803.8,294.0,704.9,1406.2,2816.3,241,58.2,18.1
0.160000,722.8,176.1,1431.4,131.8,2817.3,288.8,701.2,1380.6,2808.4,241.2,57.8,17.5
0.162000,719.8,194.4,1417.2,145.4,2822.7,288.3,697.7,1357.1,2800.7,241.3,57.2,16.7
0.164000,714.3,218.0,1394.6,172.8,2820.5,293.7,694.6,1336.3,2793.4,241.4,56.5,15.7
0.166000,705.1,251.0,1358.2,211.6,2812.5,300.9,692,1318.5,2786.9,241.5,55.6,14.4
0.168000,689.9,297.1,1305.9,245.3,2801.4,304.4,689.9,1304.2,2781.6,241.5,54.6,12.4
0.170000,669.3,350.7,1253.7,253.1,2793.4,304.5,688.4,1293.7,2777.6,241.6,53.4,10
0.172000,647.9,417.8,1216.3,245.2,2793.6,308.3,687.4,1287.4,2775.1,241.6,51.9,7.9
0.174000,627.3,519.0,1197.0,244.1,2804.4,320.0,687.1,1285.2,2774.3,241.6,50.4,6.3
