time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026011,488.0,88.6,2122.5,238.1,2969.2,282.2,503.2,2137.3,2967.1,0,56,3.2
0.028011,503.4,97.6,2145.5,189.9,2963.5,286.6,509.7,2143.1,2966.3,0,56.2,2.8
0.030011,524.4,92.0,2160.5,149.5,2966.6,252.8,519.3,2151.5,2965,0,56.2,2.1
0.032011,544.2,73.0,2168.3,115.7,2965.2,201.0,530.3,2160.7,2963.5,0,56.3,1.6
0.034011,555.0,52.4,2172.4,90.9,2961.0,151.3,540.8,2169,2961.9,0,56.5,1.3
0.036011,556.8,35.2,2175.0,75.3,2958.3,111.7,549.5,2174.9,2960.3,0,56.7,1.7
0.038011,553.7,23.4,2175.5,68.4,2957.0,86.6,555.4,2177.9,2958.6,0,56.8,2.6
0.040011,550.0,16.3,2173.7,66.9,2955.8,73.5,558.2,2177.9,2956.6,275.8,56.8,3.9
0.042011,547.5,12.4,2170.8,67.0,2954.3,70.6,558.5,2176,2954.1,275.8,56.7,5.2
0.044011,547.2,11.0,2170.0,65.8,2952.4,79.0,557.1,2173.5,2950.8,275.8,56.3,6.3
0.046011,550.4,11.9,2173.0,64.3,2948.9,98.1,555.3,2172.1,2946.7,275.8,55.8,7
0.048011,556.8,14.2,2177.6,65.4,2942.0,111.8,554,2173,2941.7,275.8,55.2,7.3
0.050011,563.1,15.7,2182.1,68.8,2935.6,106.5,553.9,2177,2936.2,275.9,54.6,7.5
0.052011,565.5,15.5,2186.7,73.2,2932.1,96.5,555.1,2184,2930.6,275.9,54.1,7.6
0.054011,563.6,14.2,2190.8,81.2,2927.7,100.4,557.3,2193.4,2925.4,275.9,53.6,7.6
0.056011,559.7,16.1,2198.9,97.9,2918.9,123.2,559.6,2203.7,2921.2,276,53.4,7.5
0.058011,556.2,27.6,2214.6,120.4,2913.1,153.5,561.2,2213.6,2918.5,276,53.4,7.1
0.060011,555.2,44.8,2223.5,123.1,2913.9,161.1,561.4,2221.6,2917.4,276.1,53.6,6.7
0.062011,555.4,51.2,2226.1,110.7,2917.6,150.0,560.2,2226.9,2917.9,276.1,53.8,6.2
0.064011,555.2,44.9,2227.0,94.3,2921.9,133.1,557.5,2229.2,2919.7,276.2,53.8,5.9
0.066011,554.2,33.7,2227.5,78.2,2925.9,115.3,554.3,2229.1,2922.2,276.3,53.7,5.8
0.068011,553.1,22.6,2228.1,63.7,2929.6,98.6,551.4,2227.5,2924.7,276.4,53.2,6.1
0.070011,552.2,14.0,2228.4,52.5,2932.5,85.6,549.9,2225.4,2926.7,276.4,52.5,6.5
0.072011,551.9,10.9,2226.6,53.9,2930.9,92.1,550.2,2223.9,2927.8,276.5,51.6,6.8
0.074011,554.1,21.6,2222.3,88.3,2919.0,153.6,552.7,2223.6,2927.8,276.6,50.7,7
0.076011,560.2,51.1,2223.3,105.9,2915.0,186.0,556.8,2224.6,2926.8,276.7,50.1,6.7
0.078011,565.3,68.8,2225.9,97.9,2919.1,175.3,561.9,2226.5,2925.2,276.7,49.9,5.9
0.080011,566.8,63.9,2228.2,84.5,2923.5,156.5,566.7,2228.8,2923.5,276.8,49.9,4.8
0.082011,566.8,49.6,2230.3,71.2,2927.2,137.8,570.1,2230.5,2922.3,276.8,49.8,3.9
0.084011,567.0,34.9,2232.2,59.3,2930.4,120.6,571.3,2231.2,2921.8,276.8,49.5,3.5
