time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,386.0,149.9,769.7,119.9,2495.2,238.3,393.3,773.7,2503.4,121.3,67.3,11.6
0.027000,392.8,139.6,775.3,114.2,2504.8,214.7,396,777.5,2504.2,121.5,67.6,11.4
0.029000,400.9,136.1,781.9,114.9,2512.6,199.6,400.4,783.6,2505.4,121.6,67.9,11.4
0.031000,410.8,136.0,792.8,119.1,2516.8,189.9,406.2,791.7,2507.1,121.7,68.3,11.4
0.033000,419.0,127.9,804.8,114.6,2515.9,178.5,413.1,801.4,2509.2,121.9,68.7,11.6
0.035000,424.6,112.5,814.7,101.4,2513.3,164.6,420.9,812,2511.6,122.1,69,11.7
0.037000,430.3,100.8,825.1,90.3,2511.2,151.2,429.1,823.2,2514.2,122.2,69.4,12
0.039000,437.5,99.0,837.1,85.4,2509.5,139.3,437.5,834.5,2516.9,122.4,69.8,12.4
0.041000,445.2,101.1,847.3,81.2,2508.6,128.9,445.8,845.4,2519.6,122.6,70.1,12.8
0.043000,451.9,97.7,855.3,73.6,2509.9,121.9,453.6,855.7,2522,122.7,70.5,13.2
0.045000,458.5,91.7,864.1,67.3,2515.8,121.4,460.8,865.1,2524.1,122.9,70.9,13.6
0.047000,466.0,91.2,874.1,67.0,2526.3,126.8,467.2,873.5,2525.5,123.1,71.2,14.1
0.049000,473.1,94.0,881.5,69.3,2534.4,131.1,472.8,881,2526.3,123.3,71.5,14.6
0.051000,477.3,92.3,885.0,68.2,2535.4,130.6,477.6,887.6,2526.1,123.5,71.9,15.1
0.053000,479.6,87.0,887.8,66.1,2532.3,130.5,481.7,893.6,2525.1,123.7,72.2,15.6
0.055000,483.4,85.2,893.9,69.8,2529.2,137.4,485.1,899.2,2523,123.9,72.5,15.9
0.057000,488.7,85.8,903.3,77.9,2526.5,146.8,487.9,904.6,2520.1,124,72.8,16.1
0.059000,492.3,81.8,911.8,80.4,2521.6,149.2,490.4,910,2516.3,124.2,73,16.1
0.061000,493.5,74.2,918.1,76.6,2513.5,146.5,492.6,915.6,2511.9,124.4,73.3,16.1
0.063000,495.2,68.5,924.5,74.9,2503.4,145.4,494.6,921.6,2507,124.6,73.5,16.1
0.065000,498.1,65.9,932.3,77.6,2493.8,143.5,496.5,927.9,2501.8,124.8,73.7,16.3
0.067000,499.9,62.4,938.9,78.4,2487.3,134.7,498.3,934.5,2496.6,125,73.8,16.7
0.069000,500.0,57.4,942.6,75.1,2483.3,123.2,500.1,941.2,2491.4,125.1,74,17.2
0.071000,500.5,54.6,946.6,73.6,2480.5,115.8,501.9,948,2486.6,125.3,74.1,17.8
0.073000,502.8,54.9,953.2,75.2,2478.4,113.1,503.6,954.7,2482,125.5,74.3,18.4
0.075000,504.9,54.3,959.6,73.9,2476.6,110.6,505.2,961,2477.6,125.7,74.4,18.9
0.077000,505.8,51.8,963.6,68.9,2475.3,108.3,506.6,966.9,2473.3,125.8,74.6,19.3
0.079000,506.9,50.5,968.1,66.5,2474.9,111.1,507.9,972.2,2468.9,126,74.7,19.6
0.081000,509.1,51.5,975.1,67.3,2473.8,119.3,509,976.8,2464.1,126.1,74.8,19.9
0.083000,510.7,51.0,981.5,65.6,2469.0,125.7,510,980.9,2458.5,126.3,74.9,20.2
0.085000,510.7,48.7,985.4,60.9,2459.7,128.9,510.8,984.5,2451.8,126.4,75,20.4
0.087000,510.7,47.6,988.7,58.0,2446.5,134.9,511.5,987.7,2443.7,126.6,75.1,20.5
0.089000,512.0,48.7,992.8,57.5,2430.8,144.8,512.2,990.7,2433.8,126.7,75.2,20.7
0.091000,513.6,48.8,996.0,55.2,2415.9,149.8,512.9,993.6,2422.1,126.9,75.3,20.7
0.093000,514.4,47.1,997.8,51.5,2402.2,148.2,513.7,996.7,2408.4,127,75.4,20.8
0.095000,515.1,46.7,1000.1,50.1,2386.5,147.0,514.6,1000,2392.9,127.1,75.4,20.9
0.097000,516.5,48.1,1004.1,50.8,2368.6,146.4,515.7,1003.6,2376,127.2,75.5,20.9
0.099000,517.8,48.5,1008.2,49.8,2353.0,141.2,516.9,1007.6,2357.9,127.3,75.5,20.9
0.101000,518.2,47.8,1011.4,47.6,2339.7,135.0,518.3,1011.7,2339.5,127.4,75.5,20.9
0.103000,518.6,49.6,1014.4,48.0,2324.9,134.4,519.7,1015.9,2321.2,127.5,75.5,20.9
0.105000,519.9,54.3,1017.8,51.3,2308.7,136.7,521.1,1020.1,2304,127.6,75.5,21
0.107000,521.6,57.6,1021.2,52.9,2295.1,132.5,522.4,1023.9,2288.6,127.7,75.5,21.2
0.109000,522.6,58.1,1024.5,52.7,2284.6,123.0,523.6,1027.2,2275.8,127.8,75.4,21.4
0.111000,523.7,60.3,1028.4,54.7,2273.1,115.8,524.5,1029.7,2266.1,127.9,75.4,21.7
0.113000,525.6,65.3,1032.9,59.7,2258.7,112.7,525,1031.2,2260,128,75.4,22
0.115000,527.4,68.2,1037.3,62.4,2242.6,110.6,525.2,1031.8,2258,128,75.3,22.2
